BI Reference,Year,Quarter,Data Subject Type,Data Type,Decision Taken,Incident Category,Incident Type,No. Data Subjects Affected,Sector,Time Taken to Report
BI1558,2024,Qtr 1,Customers or prospective customers,Economic and financial data,No Further Action,Cyber,Malware (not ransomware),100 to 1k,Central government,24 hours to 72 hours
BI1559,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,More than 1 week
BI1559,2024,Qtr 1,Employees,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,More than 1 week
BI1559,2024,Qtr 1,Employees,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,More than 1 week
BI1559,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,More than 1 week
BI1560,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,Investigation Pursued,Cyber,Ransomware,1 to 9,"Finance, insurance and credit",72 hours to 1 week
BI1561,2024,Qtr 1,Service users,Economic and financial data,No Further Action,Cyber,Malware (not ransomware),10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1561,2024,Qtr 1,Service users,Location data,No Further Action,Cyber,Malware (not ransomware),10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1562,2024,Qtr 1,Service users,Official documents,Ongoing,Cyber,Ransomware,10 to 99,Health,72 hours to 1 week
BI1563,2024,Qtr 1,Children,Criminal offence data,Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Local government,Less than 24 hours
BI1563,2024,Qtr 1,Children,Data revealing racial or ethnic origin,Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Local government,Less than 24 hours
BI1564,2024,Qtr 1,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1564,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1565,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1566,2024,Qtr 1,Service users,Health data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1566,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1566,2024,Qtr 1,Service users,Location data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1566,2024,Qtr 1,Service users,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1567,2024,Qtr 1,Patients,Criminal offence data,Action Taken,Cyber,Unauthorised access,10 to 99,Legal,More than 1 week
BI1568,2024,Qtr 1,Patients,Economic and financial data,Ongoing,Cyber,Phishing attack,100 to 1k,Legal,24 hours to 72 hours
BI1569,2024,Qtr 1,Members of the public,Health data,No Further Action,Non Cyber,Failure to redact,100 to 1k,"Finance, insurance and credit",More than 1 week
BI1570,2024,Qtr 1,Users,Health data,No Further Action,Non Cyber,Failure to redact,10 to 99,Online technology and telecoms,72 hours to 1 week
BI1570,2024,Qtr 1,Users,Identification data,No Further Action,Non Cyber,Failure to redact,10 to 99,Online technology and telecoms,72 hours to 1 week
BI1571,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,No Further Action,Non Cyber,Data left on screen in public location,100 to 1k,Health,Less than 24 hours
BI1572,2024,Qtr 1,Patients,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Legal,More than 1 week
BI1572,2024,Qtr 1,Patients,Identification data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Legal,More than 1 week
BI1572,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Legal,More than 1 week
BI1572,2024,Qtr 1,Patients,Official documents,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Legal,More than 1 week
BI1573,2024,Qtr 1,Service users,Official documents,No Further Action,Non Cyber,Not Provided,10 to 99,Local government,72 hours to 1 week
BI1573,2024,Qtr 1,Service users,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,Local government,72 hours to 1 week
BI1573,2024,Qtr 1,Service users,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,Local government,72 hours to 1 week
BI1573,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,Local government,72 hours to 1 week
BI1574,2024,Qtr 1,Employees,Location data,Action Taken,Cyber,Malware (not ransomware),1 to 9,Health,24 hours to 72 hours
BI1574,2024,Qtr 1,Employees,Official documents,Action Taken,Cyber,Malware (not ransomware),1 to 9,Health,24 hours to 72 hours
BI1574,2024,Qtr 1,Employees,Health data,Action Taken,Cyber,Malware (not ransomware),1 to 9,Health,24 hours to 72 hours
BI1575,2024,Qtr 1,Members of the public,Criminal offence data,No Further Action,Cyber,Malware (not ransomware),1 to 9,Local government,Less than 24 hours
BI1575,2024,Qtr 1,Members of the public,Basic personal identifiers,No Further Action,Cyber,Malware (not ransomware),1 to 9,Local government,Less than 24 hours
BI1576,2024,Qtr 1,Members of the public,Location data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Retail and manufacture,72 hours to 1 week
BI1577,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Cyber,Ransomware,1 to 9,Local government,More than 1 week
BI1577,2024,Qtr 1,Children,Identification data,No Further Action,Cyber,Ransomware,1 to 9,Local government,More than 1 week
BI1577,2024,Qtr 1,Children,Criminal offence data,No Further Action,Cyber,Ransomware,1 to 9,Local government,More than 1 week
BI1578,2024,Qtr 1,Employees,Health data,Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1578,2024,Qtr 1,Employees,Basic personal identifiers,Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1579,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10 to 99,General business,24 hours to 72 hours
BI1580,2024,Qtr 1,Patients,Identification data,No Further Action,Non Cyber,Not Provided,100 to 1k,Charitable and voluntary,More than 1 week
BI1581,2024,Qtr 1,Employees,Economic and financial data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,More than 1 week
BI1581,2024,Qtr 1,Employees,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,More than 1 week
BI1581,2024,Qtr 1,Employees,Health data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,More than 1 week
BI1581,2024,Qtr 1,Employees,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,More than 1 week
BI1582,2024,Qtr 1,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,24 hours to 72 hours
BI1582,2024,Qtr 1,Patients,Health data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,24 hours to 72 hours
BI1583,2024,Qtr 1,Users,Health data,Action Taken,Non Cyber,Failure to redact,1 to 9,Charitable and voluntary,Less than 24 hours
BI1584,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Cyber,Malware (not ransomware),10 to 99,Education and childcare,72 hours to 1 week
BI1584,2024,Qtr 1,Employees,Health data,No Further Action,Cyber,Malware (not ransomware),10 to 99,Education and childcare,72 hours to 1 week
BI1585,2024,Qtr 1,Children,Official documents,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Local government,24 hours to 72 hours
BI1585,2024,Qtr 1,Children,Identification data,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Local government,24 hours to 72 hours
BI1585,2024,Qtr 1,Children,Basic personal identifiers,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Local government,24 hours to 72 hours
BI1586,2024,Qtr 1,Children,Criminal offence data,Action Taken,Cyber,Other cyber attack,10k to 100k,"Finance, insurance and credit",24 hours to 72 hours
BI1586,2024,Qtr 1,Children,Data revealing racial or ethnic origin,Action Taken,Cyber,Other cyber attack,10k to 100k,"Finance, insurance and credit",24 hours to 72 hours
BI1587,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,Ongoing,Non Cyber,Not Provided,10 to 99,"Finance, insurance and credit",72 hours to 1 week
BI1588,2024,Qtr 1,Employees,Basic personal identifiers,Action Taken,Non Cyber,Verbal disclosure of personal data,100 to 1k,Legal,24 hours to 72 hours
BI1589,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1589,2024,Qtr 1,Subscribers,Health data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1590,2024,Qtr 1,Members of the public,Health data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1590,2024,Qtr 1,Members of the public,Identification data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1590,2024,Qtr 1,Members of the public,Location data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1591,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1591,2024,Qtr 1,Subscribers,Official documents,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1592,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Online technology and telecoms,72 hours to 1 week
BI1592,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Online technology and telecoms,72 hours to 1 week
BI1592,2024,Qtr 1,Subscribers,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Online technology and telecoms,72 hours to 1 week
BI1593,2024,Qtr 1,Service users,Identification data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1k to 10k,"Finance, insurance and credit",72 hours to 1 week
BI1593,2024,Qtr 1,Service users,Basic personal identifiers,Ongoing,Non Cyber,Data emailed to incorrect recipient,1k to 10k,"Finance, insurance and credit",72 hours to 1 week
BI1594,2024,Qtr 1,Subscribers,Identification data,Action Taken,Non Cyber,Not Provided,1 to 9,Transport and leisure,24 hours to 72 hours
BI1594,2024,Qtr 1,Subscribers,Health data,Action Taken,Non Cyber,Not Provided,1 to 9,Transport and leisure,24 hours to 72 hours
BI1595,2024,Qtr 1,Members of the public,Basic personal identifiers,Ongoing,Non Cyber,Not Provided,100 to 1k,General business,More than 1 week
BI1595,2024,Qtr 1,Members of the public,Criminal offence data,Ongoing,Non Cyber,Not Provided,100 to 1k,General business,More than 1 week
BI1596,2024,Qtr 1,Children,Criminal offence data,Action Taken,Non Cyber,Failure to redact,10 to 99,Retail and manufacture,24 hours to 72 hours
BI1597,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Cyber,Malware (not ransomware),1 to 9,Health,24 hours to 72 hours
BI1598,2024,Qtr 1,Service users,Economic and financial data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,General business,More than 1 week
BI1598,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,1 to 9,General business,More than 1 week
BI1599,2024,Qtr 1,Customers or prospective customers,Official documents,No Further Action,Cyber,Unauthorised access,10 to 99,"Finance, insurance and credit",72 hours to 1 week
BI1600,2024,Qtr 1,Customers or prospective customers,Official documents,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1600,2024,Qtr 1,Customers or prospective customers,Criminal offence data,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1601,2024,Qtr 1,Employees,Official documents,No Further Action,Cyber,Ransomware,10 to 99,General business,Less than 24 hours
BI1602,2024,Qtr 1,Children,Criminal offence data,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,Legal,72 hours to 1 week
BI1602,2024,Qtr 1,Children,Official documents,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,Legal,72 hours to 1 week
BI1603,2024,Qtr 1,Subscribers,Official documents,No Further Action,Cyber,Ransomware,10 to 99,Retail and manufacture,More than 1 week
BI1604,2024,Qtr 1,Patients,Criminal offence data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,24 hours to 72 hours
BI1604,2024,Qtr 1,Patients,Location data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,24 hours to 72 hours
BI1604,2024,Qtr 1,Patients,Economic and financial data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,24 hours to 72 hours
BI1605,2024,Qtr 1,Users,Economic and financial data,No Further Action,Cyber,Phishing attack,1k to 10k,"Finance, insurance and credit",24 hours to 72 hours
BI1606,2024,Qtr 1,Subscribers,Economic and financial data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI1606,2024,Qtr 1,Subscribers,Identification data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI1607,2024,Qtr 1,Subscribers,Official documents,No Further Action,Cyber,Phishing attack,100 to 1k,Education and childcare,Less than 24 hours
BI1607,2024,Qtr 1,Subscribers,Identification data,No Further Action,Cyber,Phishing attack,100 to 1k,Education and childcare,Less than 24 hours
BI1607,2024,Qtr 1,Subscribers,Location data,No Further Action,Cyber,Phishing attack,100 to 1k,Education and childcare,Less than 24 hours
BI1608,2024,Qtr 1,Users,Economic and financial data,No Further Action,Cyber,Unauthorised access,10 to 99,Legal,72 hours to 1 week
BI1608,2024,Qtr 1,Users,Data revealing racial or ethnic origin,No Further Action,Cyber,Unauthorised access,10 to 99,Legal,72 hours to 1 week
BI1609,2024,Qtr 1,Employees,Criminal offence data,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI1610,2024,Qtr 1,Patients,Economic and financial data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Local government,Less than 24 hours
BI1610,2024,Qtr 1,Patients,Health data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Local government,Less than 24 hours
BI1610,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Local government,Less than 24 hours
BI1611,2024,Qtr 1,Subscribers,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI1612,2024,Qtr 1,Customers or prospective customers,Economic and financial data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,24 hours to 72 hours
BI1612,2024,Qtr 1,Customers or prospective customers,Identification data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,24 hours to 72 hours
BI1612,2024,Qtr 1,Customers or prospective customers,Criminal offence data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,24 hours to 72 hours
BI1612,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,24 hours to 72 hours
BI1613,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Loss/theft of device containing personal data,100 to 1k,Online technology and telecoms,72 hours to 1 week
BI1613,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of device containing personal data,100 to 1k,Online technology and telecoms,72 hours to 1 week
BI1613,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Loss/theft of device containing personal data,100 to 1k,Online technology and telecoms,72 hours to 1 week
BI1613,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Loss/theft of device containing personal data,100 to 1k,Online technology and telecoms,72 hours to 1 week
BI1614,2024,Qtr 1,Subscribers,Identification data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Legal,Less than 24 hours
BI1614,2024,Qtr 1,Subscribers,Criminal offence data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Legal,Less than 24 hours
BI1615,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1k to 10k,Health,24 hours to 72 hours
BI1616,2024,Qtr 1,Subscribers,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1 to 9,Local government,Less than 24 hours
BI1617,2024,Qtr 1,Patients,Criminal offence data,No Further Action,Non Cyber,Failure to redact,1 to 9,Education and childcare,24 hours to 72 hours
BI1618,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Cyber,Malware (not ransomware),1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1618,2024,Qtr 1,Service users,Official documents,No Further Action,Cyber,Malware (not ransomware),1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1619,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,Less than 24 hours
BI1619,2024,Qtr 1,Customers or prospective customers,Location data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,Less than 24 hours
BI1619,2024,Qtr 1,Customers or prospective customers,Identification data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,Less than 24 hours
BI1619,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,Less than 24 hours
BI1620,2024,Qtr 1,Service users,Economic and financial data,Investigation Pursued,Cyber,Ransomware,100 to 1k,Education and childcare,24 hours to 72 hours
BI1621,2024,Qtr 1,Customers or prospective customers,Identification data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1621,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1622,2024,Qtr 1,Members of the public,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,72 hours to 1 week
BI1623,2024,Qtr 1,Members of the public,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,10k to 100k,Central government,72 hours to 1 week
BI1623,2024,Qtr 1,Members of the public,Location data,No Further Action,Non Cyber,Data emailed to incorrect recipient,10k to 100k,Central government,72 hours to 1 week
BI1624,2024,Qtr 1,Users,Basic personal identifiers,Investigation Pursued,Cyber,Unauthorised access,1 to 9,Local government,24 hours to 72 hours
BI1624,2024,Qtr 1,Users,Data revealing racial or ethnic origin,Investigation Pursued,Cyber,Unauthorised access,1 to 9,Local government,24 hours to 72 hours
BI1625,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI1626,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1626,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1626,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1627,2024,Qtr 1,Employees,Economic and financial data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1627,2024,Qtr 1,Employees,Basic personal identifiers,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1628,2024,Qtr 1,Children,Identification data,Ongoing,Non Cyber,Verbal disclosure of personal data,1 to 9,General business,24 hours to 72 hours
BI1629,2024,Qtr 1,Members of the public,Health data,Action Taken,Non Cyber,Not Provided,10 to 99,Charitable and voluntary,More than 1 week
BI1629,2024,Qtr 1,Members of the public,Identification data,Action Taken,Non Cyber,Not Provided,10 to 99,Charitable and voluntary,More than 1 week
BI1630,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Central government,Less than 24 hours
BI1631,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1631,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1632,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,100 to 1k,Health,72 hours to 1 week
BI1632,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Non Cyber,Not Provided,100 to 1k,Health,72 hours to 1 week
BI1632,2024,Qtr 1,Customers or prospective customers,Criminal offence data,No Further Action,Non Cyber,Not Provided,100 to 1k,Health,72 hours to 1 week
BI1633,2024,Qtr 1,Patients,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,Less than 24 hours
BI1633,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,Less than 24 hours
BI1634,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Not Provided,1 to 9,Land or property services,Less than 24 hours
BI1634,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Non Cyber,Not Provided,1 to 9,Land or property services,Less than 24 hours
BI1634,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Not Provided,1 to 9,Land or property services,Less than 24 hours
BI1635,2024,Qtr 1,Children,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1635,2024,Qtr 1,Children,Location data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1636,2024,Qtr 1,Employees,Criminal offence data,No Further Action,Cyber,Phishing attack,10 to 99,Retail and manufacture,72 hours to 1 week
BI1636,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Cyber,Phishing attack,10 to 99,Retail and manufacture,72 hours to 1 week
BI1636,2024,Qtr 1,Employees,Official documents,No Further Action,Cyber,Phishing attack,10 to 99,Retail and manufacture,72 hours to 1 week
BI1637,2024,Qtr 1,Subscribers,Health data,No Further Action,Cyber,Phishing attack,1 to 9,General business,24 hours to 72 hours
BI1638,2024,Qtr 1,Members of the public,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI1639,2024,Qtr 1,Service users,Location data,Ongoing,Non Cyber,Data left on screen in public location,10 to 99,Health,24 hours to 72 hours
BI1639,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,Ongoing,Non Cyber,Data left on screen in public location,10 to 99,Health,24 hours to 72 hours
BI1640,2024,Qtr 1,Members of the public,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1640,2024,Qtr 1,Members of the public,Official documents,Investigation Pursued,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1640,2024,Qtr 1,Members of the public,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1640,2024,Qtr 1,Members of the public,Identification data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1641,2024,Qtr 1,Subscribers,Economic and financial data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10k to 100k,General business,24 hours to 72 hours
BI1641,2024,Qtr 1,Subscribers,Basic personal identifiers,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10k to 100k,General business,24 hours to 72 hours
BI1642,2024,Qtr 1,Users,Location data,No Further Action,Non Cyber,Data left on screen in public location,100 to 1k,Online technology and telecoms,More than 1 week
BI1642,2024,Qtr 1,Users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data left on screen in public location,100 to 1k,Online technology and telecoms,More than 1 week
BI1643,2024,Qtr 1,Patients,Location data,Investigation Pursued,Cyber,Other cyber attack,1k to 10k,Retail and manufacture,24 hours to 72 hours
BI1643,2024,Qtr 1,Patients,Health data,Investigation Pursued,Cyber,Other cyber attack,1k to 10k,Retail and manufacture,24 hours to 72 hours
BI1643,2024,Qtr 1,Patients,Identification data,Investigation Pursued,Cyber,Other cyber attack,1k to 10k,Retail and manufacture,24 hours to 72 hours
BI1643,2024,Qtr 1,Patients,Basic personal identifiers,Investigation Pursued,Cyber,Other cyber attack,1k to 10k,Retail and manufacture,24 hours to 72 hours
BI1644,2024,Qtr 1,Employees,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1645,2024,Qtr 1,Children,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,72 hours to 1 week
BI1645,2024,Qtr 1,Children,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,72 hours to 1 week
BI1645,2024,Qtr 1,Children,Identification data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,72 hours to 1 week
BI1646,2024,Qtr 1,Service users,Basic personal identifiers,Action Taken,Non Cyber,Loss/theft of device containing personal data,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1647,2024,Qtr 1,Employees,Location data,No Further Action,Non Cyber,Verbal disclosure of personal data,1 to 9,Central government,More than 1 week
BI1648,2024,Qtr 1,Employees,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,24 hours to 72 hours
BI1648,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,24 hours to 72 hours
BI1649,2024,Qtr 1,Customers or prospective customers,Official documents,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,General business,More than 1 week
BI1649,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,General business,More than 1 week
BI1649,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,General business,More than 1 week
BI1649,2024,Qtr 1,Customers or prospective customers,Location data,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,General business,More than 1 week
BI1650,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,24 hours to 72 hours
BI1651,2024,Qtr 1,Users,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Online technology and telecoms,Less than 24 hours
BI1652,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1652,2024,Qtr 1,Customers or prospective customers,Economic and financial data,Investigation Pursued,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1653,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,24 hours to 72 hours
BI1653,2024,Qtr 1,Children,Official documents,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,24 hours to 72 hours
BI1653,2024,Qtr 1,Children,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,24 hours to 72 hours
